,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
TMT-10:,,,,,,,,,,,,,,,
S001,"3,6µl",126,1.Plex,PX-541,1,126,127N,127C,128N,128C,129N,129C,130N,130C,131
S002,"3,6µl",127N,,,2,E23-0541,E23-0542,E23-0543,E23-0544,E23-0545,E23-0546,E23-0547,E23-0548,E23-0549,E23-0550
S003,"3,6µl",127C,,,3,E23-0551,E23-0552,E23-0553,E23-0554,E23-0555,E23-0556,E23-0557,E23-0558,E23-0559,E23-0560
S004,"3,6µl",128N,,,4,E23-0561,E23-0562,E23-0563,E23-0564,E23-0565,E23-0566,E23-0567,E23-0568,E23-0569,E23-0570
S005,"3,6µl",128C,,,5,E23-0571,E23-0572,E23-0573,E23-0574,E23-0575,E23-0576,E23-0577,E23-0578,E23-0579,E23-0580
S006,"3,6µl",129N,,,6,E23-0581,E23-0582,E23-0583,E23-0584,E23-0585,E23-0586,E23-0587,E23-0588,E23-0589,E23-0590
S007,"3,6µl",129C,,,7,E23-0591,E23-0592,E23-0593,E23-0594,E23-0595,E23-0596,E23-0597,,,
S008,"3,6µl",130N,,,8,,,,,E23-0598,E23-0599,E23-0600,E23-0601,E23-0602,E23-0603
S009,"3,6µl",130C,,,9,,,,,,,,,,
S010,"3,6µl",131,,,10,,,,,,,,,,
S011,"3,6µl",126,2.Plex,PX-551,11,,,,,,,,,,
S012,"3,6µl",127N,,,12,,,,,,,,,,
S013,"3,6µl",127C,,,13,,,,,,,,,,
S014,"3,6µl",128N,,,14,,,,,,,,,,
S015,"3,6µl",128C,,,15,,,,,,,,,,
S016,"3,6µl",129N,,,16,,,,,,,,,,
S017,"3,6µl",129C,,,17,,,,,,,,,,
S018,"3,6µl",130N,,,18,,,,,,,,,,
S019,"3,6µl",130C,,,19,,,,,,,,,,
S020,"3,6µl",131,,,20,,,,,,,,,,
S021,"3,6µl",126,3.Plex,PX-561,21,,,,,,,,,,
S022,"3,6µl",127N,,,22,,,,,,,,,,
S023,"3,6µl",127C,,,23,,,,,,,,,,
S024,"3,6µl",128N,,,24,,,,,,,,,,
S025,"3,6µl",128C,,,25,,,,,,,,,,
S026,"3,6µl",129N,,,26,,,,,,,,,,
S027,"3,6µl",129C,,,27,,,,,,,,,,
S028,"3,6µl",130N,,,28,,,,,,,,,,
S029,"3,6µl",130C,,,29,,,,,,,,,,
S030,"3,6µl",131,,,30,,,,,,,,,,
S031,"3,6µl",126,4.Plex,PX-571,31,,,,,,,,,,
S032,"3,6µl",127N,,,32,,,,,,,,,,
S033,"3,6µl",127C,,,33,,,,,,,,,,
S034,"3,6µl",128N,,,34,,,,,,,,,,
S035,"3,6µl",128C,,,35,,,,,,,,,,
S036,"3,6µl",129N,,,CTRL1,,,,,,,,,,
S037,"3,6µl",129C,,,CTRL2,,,,,,,,,,
S038,"3,6µl",130N,,,CTRL3,,,,,,,,,,
S039,"3,6µl",130C,,,CTRL4,,,,,,,,,,
S040,"3,6µl",131,,,CTRL5,,,,,,,,,,
S041,"3,6µl",126,5.Plex,PX-581,CTRL6,,,,,,,,,,
S042,"3,6µl",127N,,,CTRL7,,,,,,,,,,
S043,"3,6µl",127C,,,CTRL8,,,,,,,,,,
S044,"3,6µl",128N,,,CTRL9,,,,,,,,,,
S045,"3,6µl",128C,,,CTRL10,,,,,,,,,,
S046,"3,6µl",129N,,,CTRL11,,,,,,,,,,
S047,"3,6µl",129C,,,CTRL12,,,,,,,,,,
S048,"3,6µl",130N,,,CTRL13,,,,,,,,,,
S049,"3,6µl",130C,,,CTRL14,,,,,,,,,,
S050,"3,6µl",131,,,CTRL15,,,,,,,,,,
S051,"3,6µl",126,6.Plex,PX-591,CTRL16,,,,,,,,,,
S052,"3,6µl",127N,,,CTRL17,,,,,,,,,,
S053,"3,6µl",127C,,,CTRL18,,,,,,,,,,
S054,"3,6µl",128N,,,CTRL19,,,,,,,,,,
S055,"3,6µl",128C,,,CTRL20,,,,,,,,,,
S056,"3,6µl",129N,,,CTRL21,,,,,,,,,,
S057,"3,6µl",129C,,,CTRL22,,,,,,,,,,
S058,"3,6µl",128C,7.Plex,PX-598,CTRL23,,,,,,,,,,
S059,"3,6µl",129N,,,CTRL24,,,,,,,,,,
S060,"3,6µl",129C,,,CTRL25,,,,,,,,,,
S061,"3,6µl",130N,,,CTRL26,,,,,,,,,,
S062,"3,6µl",130C,,,CTRL27,,,,,,,,,,
S063,"3,6µl",131,,,CTRL28,,,,,,,,,,
S064,,127N,7.Plex,PX-598,HC4,,,,,,,,,,
S065,,127C,7.Plex,PX-598,HC5,,,,,,,,,,
S066,,128N,7.Plex,PX-598,HC6,,,,,,,,,,
